sentence,label,id,token_count,char_count,avg_word_len,dep_depth,num_clauses,passive_voice_count,negation_count,hedge_count,num_financial_terms,num_entities,entity_density,flesch_reading_ease,flesch_kincaid_grade,complexity_score
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,2583,26,143,4.952,7,0,0,0,0,0,6,0.2308,42.72,13.51,0.1745999024796263
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,negative,3298,43,201,4.4,6,1,0,0,0,1,8,0.186,86.73,2.95,0.17162149361458956
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral,394,31,181,5.64,5,3,2,0,0,0,5,0.1613,29.03,15.92,0.26787773227862255
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,3242,31,141,3.455,7,0,0,0,0,0,8,0.2581,95.93,1.32,0.11815484232135759
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",negative,3438,20,92,5.083,4,0,0,0,0,0,4,0.2,68.98,7.61,0.11173167766100178
The order was valued at over EUR15m .,neutral,1096,9,37,3.429,3,0,2,0,0,0,1,0.1111,66.79,5.68,0.07353267165449215
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn .",negative,3446,23,108,4.0,5,0,0,0,0,2,4,0.1739,86.93,2.87,0.09823974172629696
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral,1631,18,102,5.125,5,0,0,0,0,0,2,0.1111,50.24,10.48,0.12983671160678792
The original patent was filed in Finland under application No. .,neutral,776,12,64,5.2,3,0,2,1,0,0,1,0.0833,35.95,10.73,0.19007796194841978
Construction is expected to be completed in the summer of 2011 .,neutral,826,12,64,4.8,5,1,3,0,1,0,1,0.0833,57.23,8.01,0.17425264143559926
"The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught .",neutral,1692,29,153,5.2,8,0,0,0,0,0,5,0.1724,64.77,6.21,0.1472190776560326
"It is being developed by Symbian , the software licensing consortium led by Nokia .",neutral,2552,15,83,5.154,6,1,2,0,0,0,2,0.1333,30.95,12.17,0.16737962911200555
`` We 've been feeling quite positive about the region as a whole .,positive,664,16,67,4.167,6,0,0,0,1,0,0,0.0,74.81,5.81,0.14870129416368516
"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .",neutral,2116,45,221,4.941,4,1,0,0,0,0,5,0.1111,22.09,18.38,0.24639005742521367
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative,3364,33,137,3.864,7,0,0,0,0,0,5,0.1515,92.2,1.95,0.12544878006360563
Rimi supermarket is the key customer in Magistral center .,neutral,2622,10,58,5.333,4,0,0,0,0,0,2,0.2,37.9,10.21,0.10645773547753927
4 ) Complete name of the shareholder : Otto Henrik Bernhard Nyberg 5 ) Further information : The amount of shares now transferred corresponds to 5.68 % of the total number of shares in Aspo Plc. .,neutral,340,38,196,5.25,11,2,0,0,0,0,5,0.1316,57.38,9.11,0.2551807698519181
"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .",neutral,48,52,290,4.979,8,1,0,0,0,0,7,0.1346,1.25,25.01,0.32156702662244085
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral,348,20,102,4.588,5,0,2,0,0,0,3,0.15,67.33,8.59,0.12345877434903597
"Speaking to just-drinks today , a spokesperson for Olvi said : `` We have performed very well in all four countries we operate in - namely , Finland , Estonia , Latvia and Lithuania . ''",positive,631,39,186,4.964,7,3,0,0,0,0,7,0.1795,29.03,15.92,0.2962021210681276
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral,3032,21,155,6.7,10,2,0,0,0,0,0,0.0,-3.81,18.76,0.2681793777019976
"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",positive,531,49,229,4.588,6,3,0,0,0,0,9,0.1837,63.4,9.26,0.2730388971191115
The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,2316,12,80,6.182,5,0,0,0,0,0,1,0.0833,11.09,14.45,0.13974743310226595
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral,1935,31,171,5.037,8,0,2,0,0,0,8,0.2581,38.43,14.61,0.19666796331494737
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,768,18,79,4.214,5,1,2,0,0,1,1,0.0556,83.85,5.04,0.12810060049567681
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral,2322,18,97,5.25,4,0,0,0,0,0,1,0.0556,70.14,7.7,0.10834398991875373
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",negative,3361,24,112,4.667,5,0,0,0,0,0,5,0.2083,81.65,3.28,0.1024021185835321
"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",positive,501,31,169,4.84,7,0,0,0,0,1,6,0.1935,57.0,7.71,0.15282281107135756
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral,766,34,191,5.385,11,1,3,0,0,0,8,0.2353,29.03,15.92,0.25659766867297756
Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,368,37,184,4.29,7,1,0,0,0,0,8,0.2162,45.16,15.16,0.2326473326314351
This wood lacquered clock comes with a stripy hand-crocheted cover .,neutral,2805,13,68,5.091,4,0,0,0,0,0,0,0.0,78.25,4.83,0.08308332091035579
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral,2931,24,98,3.625,5,0,0,0,0,0,2,0.0833,88.37,6.4,0.11932920191686543
"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",positive,582,22,109,4.3,6,1,0,0,0,0,4,0.1818,51.18,11.09,0.1750861455848738
Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .,positive,372,22,116,4.476,7,1,0,0,0,1,1,0.0455,64.66,9.46,0.17265308602290796
RSA 's shares closed at 156.9 p at the time of going to press .,neutral,2626,15,63,3.417,6,0,0,0,0,0,2,0.1333,109.09,-0.22,0.07238179925089445
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,85,32,130,3.81,5,2,0,0,0,0,4,0.125,91.47,1.99,0.16646285219141324
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,negative,3139,27,139,4.619,8,0,0,0,0,0,4,0.1481,61.24,6.71,0.14605578227489566
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,3092,16,97,5.4,5,0,2,0,1,0,0,0.0,39.33,11.5,0.1731612634478732
Underground parking facilities will also be built on the basement floor .,neutral,2815,12,73,5.545,3,0,2,0,0,0,0,0.0,49.54,9.08,0.09779280569841979
The full-function PC weighs 1.25 kilograms and measures slightly more than two centimeters thin .,neutral,2232,17,97,5.5,5,0,0,0,0,0,1,0.0588,54.7,7.37,0.11102589724955277
"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",positive,1147,24,138,5.429,4,1,0,0,0,0,2,0.0833,51.18,11.09,0.16614160175660903
In 2007 Etteplan reported a turnover of EUR125 .2 m.,neutral,2530,10,52,4.833,4,0,0,0,0,0,3,0.3,61.33,7.19,0.09007318686642814
"It expects revenue between $ 8.4 billion and $ 8.7 billion , compared to analyst estimates of $ 8.67 billion .",neutral,1377,21,110,5.769,6,0,0,0,0,1,3,0.1429,53.37,7.14,0.12394026178319421
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral,1435,20,116,5.667,4,0,0,0,1,1,3,0.15,36.16,12.94,0.18231544502211292
Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .,neutral,2491,22,101,4.0,5,0,2,0,0,0,2,0.0909,76.23,7.35,0.12060731278572849
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",positive,141,33,169,4.88,7,0,0,0,0,2,4,0.1212,46.29,9.12,0.16434851964693897
LONDON AFX - Fortum said it has agreed to sell its industrial maintenance service operations to funds managed by CapMan for an undisclosed sum .,neutral,1627,25,144,5.13,7,3,0,0,0,0,3,0.12,40.04,13.39,0.25534420965016896
"Tekla provides 3D software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",neutral,903,27,182,6.333,8,0,0,0,0,0,1,0.037,25.8,15.87,0.19575196283045124
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",neutral,1853,38,205,4.889,5,0,0,0,0,0,6,0.1579,42.17,15.33,0.1949093355570463
The announced restructuring will significantly decrease the Company 's indebtedness .,positive,1417,11,85,8.0,3,0,0,0,0,0,0,0.0,-6.35,16.63,0.13681619273007356
"Previously , EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators .",positive,1404,29,175,5.37,7,1,0,0,0,0,2,0.069,10.23,18.54,0.235481130273554
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,1583,32,178,5.0,7,0,0,0,0,0,5,0.1562,51.96,13.22,0.1846544587619261
"As such , the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe .",neutral,3417,23,108,4.316,6,0,0,0,0,0,1,0.0435,71.78,7.97,0.1323192689698867
( I&H ) in a move to enhance growth .,positive,868,10,37,3.667,4,1,0,0,0,0,1,0.1,103.04,0.63,0.08226068686642814
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 .,positive,161,42,199,4.379,6,0,0,0,0,1,8,0.1905,81.29,3.66,0.14575772786846553
"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",positive,476,32,143,4.136,5,0,0,0,0,0,7,0.2188,80.92,3.65,0.11991337302474658
Donations to universities The Annual General Meeting authorized the Board of Directors to donate max .,neutral,829,16,102,5.733,3,1,0,0,0,0,2,0.125,16.77,14.65,0.1635417054884715
"Raute posted a net profit of 1.8 mln euro $ 2.6 mln for the third quarter of 2007 , compared to a net loss of 299,000 euro $ 430,000 for the corresponding period of 2006 .",positive,1475,36,171,4.0,7,0,0,0,0,1,6,0.1667,82.33,4.43,0.14471759466308884
The category was marked by maturity and the recession .,neutral,1703,10,55,5.0,4,0,2,0,0,1,0,0.0,37.9,10.21,0.10645773547753927
"The fair value of investment properties totalled EUR 2,299.9 mn , compared to EUR 2,229.5 mn in the corresponding period in 2009 .",positive,1482,23,130,4.889,7,0,0,0,0,0,3,0.1304,66.79,5.68,0.12630548024125424
The air traffic of Finland has been in stoppage since then .,negative,3090,12,60,4.364,3,0,0,0,0,0,1,0.0833,88.0,3.72,0.06871294458730869
Kirsi Rantanen was previously development director for HK Ruokatalo 's poultry business .,neutral,2029,13,89,6.727,5,0,0,0,0,0,2,0.1538,11.36,14.66,0.14282474051505664
"`` My wife is looking forward to getting a paycheck again , '' he quipped recently as a six-knot current swirled around his anchored and heavily sponsored jet sled .",neutral,2952,33,165,4.778,6,2,0,0,1,0,1,0.0303,50.29,12.7,0.2745832285144603
"BAWAG - Is to issue a benchmark , covered deal .",neutral,1809,11,48,4.375,3,1,0,0,0,0,1,0.0909,82.39,3.76,0.09476975175785131
The figure does not include food exports from Finland .,neutral,2719,10,55,5.0,3,0,0,1,0,0,1,0.1,75.5,4.96,0.1548977394839495
The new activity will incur an investment of about 5 MEUR .,neutral,1761,12,59,4.6,5,0,0,0,1,0,1,0.0833,57.23,8.01,0.1464748636578215
It was decided that the auditors are reimbursed according to invoice .,neutral,2015,12,70,5.273,4,1,4,0,0,0,0,0.0,41.85,10.15,0.13778596141423174
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral,1845,16,107,6.067,6,0,0,0,0,0,0,0.0,22.41,13.86,0.1507086726359074
UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .,neutral,1124,14,96,6.308,3,1,0,0,1,0,2,0.1429,4.92,15.8,0.2075715524684457
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,negative,3295,18,80,4.222,3,0,0,0,0,2,4,0.2222,94.6,1.31,0.06726576475849731
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",positive,136,33,171,4.917,6,0,0,0,0,2,4,0.1212,55.35,7.86,0.15110232573668259
"The outsourced Scan and Capture solutions transfer paper invoices into electronic format , and Basware Business Transactions Service allows the customer to receive and send invoices in an electronic format .",neutral,1100,31,207,6.034,6,1,0,0,0,0,2,0.0645,14.03,18.51,0.23278408243887896
"`` The new structure provides better communication , faster decision-making and cost savings , '' Proha said .",positive,661,21,110,6.071,5,1,0,0,0,0,1,0.0476,17.93,13.99,0.18247141162293778
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,799,22,128,5.667,5,0,0,0,0,0,2,0.0909,22.8,14.8,0.16102614959128406
"`` We will now , after the relevant authority approvals , make a mandatory bid as required by the Finnish Securities Markets Act .",neutral,794,25,130,5.1,5,1,0,0,0,0,1,0.04,25.8,14.63,0.19369557182965616
Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 .,positive,686,17,74,3.818,3,0,0,0,0,2,4,0.2353,90.23,1.61,0.06695538442903995
"The total investment in the Vantaa plant extension will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",neutral,781,30,165,5.08,5,0,0,0,2,0,4,0.1333,45.47,13.87,0.25481778597694293
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",negative,2837,22,110,4.444,8,1,0,0,0,0,5,0.2273,62.88,9.21,0.17770700562760885
"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland .",neutral,1742,19,86,4.2,4,0,0,0,0,0,3,0.1579,79.56,6.14,0.1018184327482111
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,2893,15,71,5.111,6,0,0,0,0,3,3,0.2,56.99,6.22,0.10732103536200559
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",negative,3275,52,296,5.366,9,2,0,0,0,0,6,0.1154,48.03,9.42,0.27117389761603056
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",neutral,1037,30,150,4.64,12,3,1,0,0,0,4,0.1333,53.55,12.25,0.2909005183487378
Their names have not yet been released .,neutral,2365,8,40,4.571,2,0,2,1,0,0,0,0.0,103.04,0.63,0.12111976060922282
Measures will be launched immediately and are due to be finalized in the first quarter of 2010 .,neutral,1629,18,96,4.625,7,1,3,0,0,0,1,0.0556,65.17,8.39,0.15909602651063406
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .",neutral,2361,31,191,5.643,7,0,0,0,0,1,1,0.0323,36.41,15.14,0.19313314093246872
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",negative,494,28,129,4.0,6,0,0,0,0,1,5,0.1786,90.09,2.76,0.11374313242272908
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral,2669,25,131,4.895,5,0,0,0,1,0,7,0.28,53.39,8.55,0.17459834960743392
The company 's board of directors would propose a dividend of EUR0 .15 per share for 2005 .,neutral,2184,18,91,4.615,5,0,0,0,1,1,2,0.1111,73.8,5.08,0.1422065032734546
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,neutral,1972,21,123,5.1,5,0,0,0,0,0,3,0.1429,34.26,13.45,0.15176394634516
The financial details of the acquisition were not disclosed .,neutral,2221,10,61,5.667,4,0,2,1,0,1,0,0.0,47.3,8.9,0.18268386394976147
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,positive,1158,33,186,5.556,10,1,0,0,0,0,3,0.0909,17.75,17.24,0.25541088609993046
"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",positive,581,26,132,4.857,8,0,2,0,0,0,5,0.1923,44.52,12.27,0.17428272833432715
"The business units of the InvestLesProm Group cover the full forest industry chain , and the Group owns forests , sawmills , paper and pulp mills , and other processing plants .",neutral,2161,32,177,5.222,6,0,0,0,0,0,2,0.0625,50.96,12.86,0.17629107735166963
The business section also includes Ahlstrom 's sustainability report .,neutral,911,10,70,7.25,3,0,0,0,0,0,1,0.1,9.7,14.14,0.1213690936506162
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive,1177,36,198,5.267,8,1,2,0,0,0,7,0.1944,29.75,16.56,0.2447150906566786
"The business has sales of about ( Euro ) 35 million ( $ 44million ) , and has been responsible for sales and marketing of Lanxess 's paper chemicals business , which Kemira bought for ( Euro ) 88 million early this year ( CW , Jan. 11 , p. 22 ) .",neutral,910,53,246,5.0,14,1,0,0,1,0,9,0.1698,43.6,16.87,0.35947088985788117
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,neutral,1914,31,217,6.379,4,1,0,0,0,0,4,0.129,-15.14,22.58,0.24204473281281058
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,1295,20,107,5.133,4,1,0,0,0,0,5,0.25,70.8,5.62,0.12871301446655734
"Under the transaction agreement , Metsaliitto will purchase 24.7 % of Metsa-Botnia 's shares from UPM and 3 % from M-real .",neutral,2814,26,123,5.235,5,0,0,0,0,0,8,0.3077,61.4,6.93,0.12608060493689127
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral,2690,24,136,5.238,6,1,0,0,0,0,1,0.0417,40.49,12.83,0.1884022187437885
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,1604,32,170,4.69,10,2,4,1,0,1,0,0.0,46.12,14.03,0.34716864813158416
It has been agreed with the company 's Board of Directors that she will be available in an advisory role .,neutral,2011,21,106,4.368,5,1,2,0,0,0,1,0.0476,55.41,10.5,0.16353694981738223
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative,3375,19,92,4.286,7,0,0,0,0,2,3,0.1579,86.62,2.58,0.10173496586786923
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral,2164,25,122,4.333,7,1,2,1,1,0,1,0.04,54.75,11.34,0.3136666922890578
"Russian export duties will activate harvesting in Finland , and sales in Russia will increase also .",positive,1477,17,100,5.467,4,0,0,0,0,0,3,0.1765,44.97,10.71,0.12273630056151859
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,499,20,122,5.368,5,1,2,0,0,1,2,0.1,45.07,11.69,0.16805512851570267
